id	user	nice	cntx	major_fault	duration	R*duration	G*duration	B*duration	fsync	bind	recvfrom	sendto	dup	poll	energy
39	3622.4	1.0	170206.0	2.0	200	38200	38200	38600	81.0	2.0	1060.77777778	426.666666667	19.0	514.777777778	225.768579104
40	3625.7	0.6	170422.7	2.0	200	38400	38600	39000	81.0	2.0	1082.3	433.1	17.0	520.8	227.438895187
41	3504.1	0.5	167848.0	2.0	200	38600	38600	39000	81.0	2.0	1067.6	421.3	17.9	492.8	228.367109961
42	3549.4	0.9	168953.0	2.0	200	38800	38800	39200	81.0	2.0	1064.2	420.3	18.0	520.4	226.109635068
43	3572.1	0.5	168579.4	2.0	200	38400	38400	38800	81.0	1.8	1073.1	425.8	18.3	487.4	227.7370114
44	3491.8	0.8	167187.1	2.0	200	37600	37600	38000	79.1111111111	1.55555555556	935.444444444	374.222222222	16.2222222222	440.111111111	226.10758791
45	3270.6	0.9	121299.3	2.0	200	37800	37800	38200	80.1	1.6	951.8	383.6	16.7	433.8	220.908103215
46	3262.1	0.9	121438.2	2.1	200	38000	38000	38400	62.3	1.2	733.9	291.5	12.9	336.4	221.524488274
47	3564.11111111	0.333333333333	168589.888889	2.0	200	38600	38600	39000	80.1	1.8	967.2	381.2	15.8	458.6	226.38647383
48	3512.2	0.8	167925.7	2.0	200	39600	39600	40000	89.0	2.0	1054.0	417.2	18.0	476.9	224.695011975
49	3463.4	0.4	166452.1	2.0	200	37800	37800	38200	79.1111111111	1.33333333333	947.444444444	372.222222222	15.7777777778	447.888888889	225.435674139
50	3686.1	1.2	170478.4	2.0	200	38600	38600	39000	80.1	1.6	959.2	385.7	15.8	458.1	225.437899823
51	3511.3	0.3	168716.5	2.0	200	38200	38200	38600	89.0	2.0	1078.6	419.2	17.2	486.4	226.601528463
52	3633.0	1.1	169621.4	2.0	200	38000	38000	38600	89.0	1.8	1060.1	422.5	18.5	502.2	225.016660602
53	3545.22222222	1.0	169403.111111	2.0	200	38600	38600	39200	89.0	1.8	1065.7	423.4	17.5	504.2	224.526533434
54	3266.3	0.7	120975.0	2.0	200	38600	38600	39000	89.0	2.0	1072.8	420.7	17.1	499.3	220.217280511
